"","grid","gridpoint","sol","new.td","density_spruce","group1","Density"
"251","WC","WC10",5,130,0,"0","low"
"252","WC","WC10",22,91,0,"0","low"
"253","WC","WC10",40.5,101,0,"0","low"
"254","WC","WC10",3,62,0,"0","low"
"255","WC","WC10",15.5,130,0,"0","low"
"256","WC","WC11",2.2,92.1,0.074641719,"(0.0249,0.229]","high"
"257","WC","WC11",7.9,87.5,0.074641719,"(0.0249,0.229]","high"
"258","WC","WC11",4.2,90.8,0.074641719,"(0.0249,0.229]","high"
"259","WC","WC11",4.9,70.6,0.074641719,"(0.0249,0.229]","high"
"260","WC","WC11",3.8,99.1,0.074641719,"(0.0249,0.229]","high"
"261","WC","WC11",26.7,60.1,0.074641719,"(0.0249,0.229]","high"
